USERS,Star Wars,Spotlight,Rocky,Mad Max: Fury Road,Kung Fu Panda 3,Despicable Me,Big Hero 6,The hungover,Inside out,The big short,Almost famous,The hunger games,Pulp Fiction,Inglourious Basterds,The usual suspects,Mamma mia,Frozen,Legally blonde,Silver Linings,Twilight,Bridget Jones Diary,Gone girl,The matrix,Alien,2001: A space Odyssey,The godfather,Pretty woman,Room,Spy,The Intern,Zootopia,MI,The martian,The Danish Girl,X-men,Captain America,Focus,NULL
792,4,4,4,4,5,5,4,4,3,,,,5,5,,,5,5,4,2,5,5,4,,,5,5,2,5,4,5,3,5,3,4,3,3,
474,5,5,5,5,5,5,5,5,5,,,,,5,5,,5,1,1,1,1,5,5,5,5,5,1,,4,4,4,5,4,4,4,4,4,
831,5,3,5,5,5,5,5,5,5,,3,5,3,4,4,2,5,3,2,1,1,5,5,5,3,5,2,4,5,5,5,3,5,3,4,5,4,
204,4,4,4,3,4,3,3,4,4,3,4,4,3,2,4,3,4,,,4,,5,5,4,5,5,5,,,3,4,2,5,1,2,2,3,
62,5,,5,5,5,5,,5,,,,4,5,5,,,,,5,1,,5,5,,,5,,,,,,,,,,,,
479,4,,,,,5,,5,,,,5,,,,,4,4,,4,,,5,,,,,2,3,1,4,5,5,5,5,5,5,
224,4,,5,3,5,5,,4,4,,,,5,3,4,4,4,,,3,5,4,5,5,5,5,,,,,,,,,,,,
75,4,,5,,5,,,4,,,,5,,,,5,,,,5,,5,,5,,5,,2,5,5,4,2,5,,,,5,
686,4,,4,5,4,4,,,,,,3,,4,,,,,,,,4,4,,4,4,,,,,,,,,,,,
519,,,3,4,,3,3,,,,,4,,4,,,3,3,,,,,5,4,3,4,,,,,,,,,,,,
253,5,4,4,5,3,5,4,2,3,5,3,3,5,5,5,4,4,3,3,1,3,4,5,1,1,5,5,,,,,,,,,,,
263,5,4,4,3,5,5,5,4,3,2,2,5,3,2,2,2,5,,,5,,,5,4,,5,5,,,,,,,,,,,
616,,,3,,5,4,4,3,,,,,,,,,,,,,,,5,,,,,3,1,4,5,1,4,,,5,,
331,5,,,4,5,5,,4,5,,,,,,,4,4,,,3,,5,4,,,,,,,,,,,,,,,
355,,,,,,5,,,,,,3,5,,,,5,,,3,,,,,,,,,,,,,,,,,,
450,2,,,4,,4,,,,,,4,5,5,,,,,,4,,5,5,,,5,,1,2,3,4,5,,3,2,,,
151,4,,,,5,4,,4,5,,,2,4,,,,,,,2,,4,5,,5,5,5,,,,,,,,,,,
52,,,2,,3,3,,3,,,,,,,,3,3,,3,3,,3,3,3,,,,,,,,,,,,,,
3,5,,5,4,4,3,3,,3,,,4,,,,,,,4,3,,5,5,,,,,,,,,,,,,,,
908,4,3,4,4,2,,,3,,,5,4,5,5,5,,,,5,2,,4,4,,,5,5,,,,,,,,,,,
777,,4,,,,4,4,5,5,,,,,5,,,3,4,5,3,4,5,,,,5,4,,,,,,,,,,,
292,5,,4,4,5,5,4,5,,,,3,5,5,5,,4,,5,1,,4,4,,,5,,,,,,,,,,,,
272,5,,4,4,3,4,5,5,5,4,,4,5,,4,3,4,,5,4,,4,5,5,3,4,5,,,,,,,,,,,
254,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,2,,5,5,5,5,4,,,5,,,,4,4,4,,5,,,4,,,5,3,,,,,,,,,,,
445,1,3,5,3,3,5,2,3,5,2,4,3,5,5,4,2,5,5,4,5,4,5,3,3,4,5,5,4,4,4,4,4,4,,,,4,
437,5,,,,4,,4,,,,,3,,,,4,,,,4,,,4,,,,5,5,3,3,3,2,3,3,,,2,
952,5,,,4,,4,,,5,,,5,2,,,,,,,,,5,3,3,,4,,,,,,,,,,,,
938,,,2,,5,5,,,5,,,,,,,,3,5,4,4,4,4,4,3,4,5,5,,,,,,,,,,,
904,3,,,,4,,,4,,,,,,,5,,,,,,,,5,5,,2,,,,,,,,,,,,
953,,,4,4,4,3,4,5,,5,,,5,5,5,,,,4,,,4,5,5,5,5,,,,,,,,,,,,
805,4,5,5,4,5,4,,5,5,,4,4,4,,,4,,4,4,2,4,4,3,2,4,3,5,,,,,,,,,,,
971,,,,4,5,5,,,5,,,,,,,,5,,,3,,,,3,,5,,4,5,4,5,4,,4,,,,
799,4,,,,5,4,,,,,,4,,,,,4,,,,,,5,,,5,,,,,,,,,,,,
697,,,,,,3,,5,,5,4,,,,3,,4,4,,,2,,,,,5,,,,,,,,,,,,
554,5,,,,5,,,,5,,,5,,,,,5,,,5,,,5,4,4,5,,5,3,2,1,4,,,,5,,
13,5,5,5,,5,5,,5,,,,,,,,,,,,5,,,5,5,,,,,,,,,,,,,,
339,,,,4,5,4,5,5,5,4,,3,,,,,2,,,1,,3,3,,,,,,,,,,,,,,,
338,5,,4,,,3,,5,,,,,,5,,,,,,4,,,5,5,,5,,,4,,4,5,,,,5,,
359,,,,,5,5,,,,,,4,,2,,,5,,,,,,,,,,,,,,,,,,,,,
179,3,,5,4,,4,,4,,,,,,5,,,,,4,1,,,4,,,5,3,,,,,,,,,,,
705,4,5,3,5,5,1,1,1,5,5,3,4,5,5,5,5,4,2,2,1,3,1,5,5,5,5,5,,,,,,,,,,,
913,4,,,5,5,5,,,4,,,3,,,,,,,,2,,4,,3,,,3,,4,5,5,4,5,5,5,5,5,