USERS,Star Wars,Spotlight,Rocky,Mad Max: Fury Road,Kung Fu Panda 3,Despicable Me,Big Hero 6,The hungover,Inside out,The big short,Almost famous,The hunger games,Pulp Fiction,Inglourious Basterds,The usual suspects,Mamma mia,Frozen,Legally blonde,Silver Linings,Twilight,Bridget Jones Diary,Gone girl,The matrix,Alien,2001: A space Odyssey,The godfather,Pretty woman,Room,Spy,The Intern,Zootopia,MI,The martian,The Danish Girl,X-men,Captain America,Focus,Null
792,-0.133333333,-0.133333333,-0.133333333,-0.133333333,0.866666667,0.866666667,-0.133333333,-0.133333333,-1.133333333,,,,0.866666667,0.866666667,,,0.866666667,0.866666667,-0.133333333,-2.133333333,0.866666667,0.866666667,-0.133333333,,,0.866666667,0.866666667,-2.133333333,0.866666667,-0.133333333,0.866666667,-1.133333333,0.866666667,-1.133333333,-0.133333333,-1.133333333,-1.133333333,
474,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,,,,,0.903225806,0.903225806,,0.903225806,-3.096774194,-3.096774194,-3.096774194,-3.096774194,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,-3.096774194,,-0.096774194,-0.096774194,-0.096774194,0.903225806,-0.096774194,-0.096774194,-0.096774194,-0.096774194,-0.096774194,
831,1,-1,1,1,1,1,1,1,1,,-1,1,-1,0,0,-2,1,-1,-2,-3,-3,1,1,1,-1,1,-2,0,1,1,1,-1,1,-1,0,1,0,
204,0.40625,0.40625,0.40625,-0.59375,0.40625,-0.59375,-0.59375,0.40625,0.40625,-0.59375,0.40625,0.40625,-0.59375,-1.59375,0.40625,-0.59375,0.40625,,,0.40625,,1.40625,1.40625,0.40625,1.40625,1.40625,1.40625,,,-0.59375,0.40625,-1.59375,1.40625,-2.59375,-1.59375,-1.59375,-0.59375,
62,0.357142857,,0.357142857,0.357142857,0.357142857,0.357142857,,0.357142857,,,,-0.642857143,0.357142857,0.357142857,,,,,0.357142857,-3.642857143,,0.357142857,0.357142857,,,0.357142857,,,,,,,,,,,,
479,-0.222222222,,,,,0.777777778,,0.777777778,,,,0.777777778,,,,,-0.222222222,-0.222222222,,-0.222222222,,,0.777777778,,,,,-2.222222222,-1.222222222,-3.222222222,-0.222222222,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,
224,-0.315789474,,0.684210526,-1.315789474,0.684210526,0.684210526,,-0.315789474,-0.315789474,,,,0.684210526,-1.315789474,-0.315789474,-0.315789474,-0.315789474,,,-1.315789474,0.684210526,-0.315789474,0.684210526,0.684210526,0.684210526,0.684210526,,,,,,,,,,,,
75,-0.470588235,,0.529411765,,0.529411765,,,-0.470588235,,,,0.529411765,,,,0.529411765,,,,0.529411765,,0.529411765,,0.529411765,,0.529411765,,-2.470588235,0.529411765,0.529411765,-0.470588235,-2.470588235,0.529411765,,,,0.529411765,
686,0,,0,1,0,0,,,,,,-1,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,
519,,,-0.583333333,0.416666667,,-0.583333333,-0.583333333,,,,,0.416666667,,0.416666667,,,-0.583333333,-0.583333333,,,,,1.416666667,0.416666667,-0.583333333,0.416666667,,,,,,,,,,,,
253,1.296296296,0.296296296,0.296296296,1.296296296,-0.703703704,1.296296296,0.296296296,-1.703703704,-0.703703704,1.296296296,-0.703703704,-0.703703704,1.296296296,1.296296296,1.296296296,0.296296296,0.296296296,-0.703703704,-0.703703704,-2.703703704,-0.703703704,0.296296296,1.296296296,-2.703703704,-2.703703704,1.296296296,1.296296296,,,,,,,,,,,
263,0.903225806,-0.096774194,-0.096774194,-1.096774194,0.903225806,0.903225806,0.903225806,-0.096774194,-1.096774194,-2.096774194,-2.096774194,0.903225806,-1.096774194,-2.096774194,-2.096774194,-2.096774194,0.903225806,,,0.903225806,,,0.903225806,-0.096774194,,0.903225806,0.903225806,,,,,,,,,,,
616,,,-0.615384615,,1.384615385,0.384615385,0.384615385,-0.615384615,,,,,,,,,,,,,,,1.384615385,,,,,-0.615384615,-2.615384615,0.384615385,1.384615385,-2.615384615,0.384615385,,,1.384615385,,
331,0.636363636,,,-0.363636364,0.636363636,0.636363636,,-0.363636364,0.636363636,,,,,,,-0.363636364,-0.363636364,,,-1.363636364,,0.636363636,-0.363636364,,,,,,,,,,,,,,,
355,,,,,,0.8,,,,,,-1.2,0.8,,,,0.8,,,-1.2,,,,,,,,,,,,,,,,,,
450,-1.705882353,,,0.294117647,,0.294117647,,,,,,0.294117647,1.294117647,1.294117647,,,,,,0.294117647,,1.294117647,1.294117647,,,1.294117647,,-2.705882353,-1.705882353,-0.705882353,0.294117647,1.294117647,,-0.705882353,-1.705882353,,,
151,-0.153846154,,,,0.846153846,-0.153846154,,-0.153846154,0.846153846,,,-2.153846154,-0.153846154,,,,,,,-2.153846154,,-0.153846154,0.846153846,,0.846153846,0.846153846,0.846153846,,,,,,,,,,,
52,,,-0.909090909,,0.090909091,0.090909091,,0.090909091,,,,,,,,0.090909091,0.090909091,,0.090909091,0.090909091,,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,,,
3,1,,1,0,0,-1,-1,,-1,,,0,,,,,,,0,-1,,1,1,,,,,,,,,,,,,,,
908,-0.058823529,-1.058823529,-0.058823529,-0.058823529,-2.058823529,,,-1.058823529,,,0.941176471,-0.058823529,0.941176471,0.941176471,0.941176471,,,,0.941176471,-2.058823529,,-0.058823529,-0.058823529,,,0.941176471,0.941176471,,,,,,,,,,,
777,,-0.285714286,,,,-0.285714286,-0.285714286,0.714285714,0.714285714,,,,,0.714285714,,,-1.285714286,-0.285714286,0.714285714,-1.285714286,-0.285714286,0.714285714,,,,0.714285714,-0.285714286,,,,,,,,,,,
292,0.705882353,,-0.294117647,-0.294117647,0.705882353,0.705882353,-0.294117647,0.705882353,,,,-1.294117647,0.705882353,0.705882353,0.705882353,,-0.294117647,,0.705882353,-3.294117647,,-0.294117647,-0.294117647,,,0.705882353,,,,,,,,,,,,
272,0.727272727,,-0.272727273,-0.272727273,-1.272727273,-0.272727273,0.727272727,0.727272727,0.727272727,-0.272727273,,-0.272727273,0.727272727,,-0.272727273,-1.272727273,-0.272727273,,0.727272727,-0.272727273,,-0.272727273,0.727272727,0.727272727,-1.272727273,-0.272727273,0.727272727,,,,,,,,,,,
254,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,-2.285714286,,0.714285714,0.714285714,0.714285714,0.714285714,-0.285714286,,,0.714285714,,,,-0.285714286,-0.285714286,-0.285714286,,0.714285714,,,-0.285714286,,,0.714285714,-1.285714286,,,,,,,,,,,
445,-2.852941176,-0.852941176,1.147058824,-0.852941176,-0.852941176,1.147058824,-1.852941176,-0.852941176,1.147058824,-1.852941176,0.147058824,-0.852941176,1.147058824,1.147058824,0.147058824,-1.852941176,1.147058824,1.147058824,0.147058824,1.147058824,0.147058824,1.147058824,-0.852941176,-0.852941176,0.147058824,1.147058824,1.147058824,0.147058824,0.147058824,0.147058824,0.147058824,0.147058824,0.147058824,,,,0.147058824,
437,1.4375,,,,0.4375,,0.4375,,,,,-0.5625,,,,0.4375,,,,0.4375,,,0.4375,,,,1.4375,1.4375,-0.5625,-0.5625,-0.5625,-1.5625,-0.5625,-0.5625,,,-1.5625,
952,1,,,0,,0,,,1,,,1,-2,,,,,,,,,1,-1,-1,,0,,,,,,,,,,,,
938,,,-2.133333333,,0.866666667,0.866666667,,,0.866666667,,,,,,,,-1.133333333,0.866666667,-0.133333333,-0.133333333,-0.133333333,-0.133333333,-0.133333333,-1.133333333,-0.133333333,0.866666667,0.866666667,,,,,,,,,,,
904,-1,,,,0,,,0,,,,,,,1,,,,,,,,1,1,,-2,,,,,,,,,,,,
953,,,-0.5,-0.5,-0.5,-1.5,-0.5,0.5,,0.5,,,0.5,0.5,0.5,,,,-0.5,,,-0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
805,0,1,1,0,1,0,,1,1,,0,0,0,,,0,,0,0,-2,0,0,-1,-2,0,-1,1,,,,,,,,,,,
971,,,,-0.357142857,0.642857143,0.642857143,,,0.642857143,,,,,,,,0.642857143,,,-1.357142857,,,,-1.357142857,,0.642857143,,-0.357142857,0.642857143,-0.357142857,0.642857143,-0.357142857,,-0.357142857,,,,
799,-0.428571429,,,,0.571428571,-0.428571429,,,,,,-0.428571429,,,,,-0.428571429,,,,,,0.571428571,,,0.571428571,,,,,,,,,,,,
697,,,,,,-0.888888889,,1.111111111,,1.111111111,0.111111111,,,,-0.888888889,,0.111111111,0.111111111,,,-1.888888889,,,,,1.111111111,,,,,,,,,,,,
554,0.75,,,,0.75,,,,0.75,,,0.75,,,,,0.75,,,0.75,,,0.75,-0.25,-0.25,0.75,,0.75,-1.25,-2.25,-3.25,-0.25,,,,0.75,,
13,0,0,0,,0,0,,0,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,
339,,,,0.333333333,1.333333333,0.333333333,1.333333333,1.333333333,1.333333333,0.333333333,,-0.666666667,,,,,-1.666666667,,,-2.666666667,,-0.666666667,-0.666666667,,,,,,,,,,,,,,,
338,0.461538462,,-0.538461538,,,-1.538461538,,0.461538462,,,,,,0.461538462,,,,,,-0.538461538,,,0.461538462,0.461538462,,0.461538462,,,-0.538461538,,-0.538461538,0.461538462,,,,0.461538462,,
359,,,,,0.8,0.8,,,,,,-0.2,,-2.2,,,0.8,,,,,,,,,,,,,,,,,,,,,
179,-0.818181818,,1.181818182,0.181818182,,0.181818182,,0.181818182,,,,,,1.181818182,,,,,0.181818182,-2.818181818,,,0.181818182,,,1.181818182,-0.818181818,,,,,,,,,,,
705,0.296296296,1.296296296,-0.703703704,1.296296296,1.296296296,-2.703703704,-2.703703704,-2.703703704,1.296296296,1.296296296,-0.703703704,0.296296296,1.296296296,1.296296296,1.296296296,1.296296296,0.296296296,-1.703703704,-1.703703704,-2.703703704,-0.703703704,-2.703703704,1.296296296,1.296296296,1.296296296,1.296296296,1.296296296,,,,,,,,,,,
913,-0.263157895,,,0.736842105,0.736842105,0.736842105,,,-0.263157895,,,-1.263157895,,,,,,,,-2.263157895,,-0.263157895,,-1.263157895,,,-1.263157895,,-0.263157895,0.736842105,0.736842105,-0.263157895,0.736842105,0.736842105,0.736842105,0.736842105,0.736842105,